1, SLC, DL, 199706,49.45649,729,1176
1, SLC, DL, 200003,25.829803,476,1340
1, SLC, DL, 200111,14.304452,289,1194
1, SLC, DL, 200408,15.372342,336,855
1, SLC, DL, 200705,10.280279,261,1093
1, SLC, DL, 201002,5.417198,139,772
1, SLC, DL, 201110,8.627221,195,1344
1, SLC, DL, 201407,11.689922,279,1297
1, SLC, EV, 200403,0.2735849,5,19
1, SLC, EV, 200511,2.601005,41,147
1, SLC, HP, 199101,0.90182656,11,20
1, SLC, HP, 199209,1.4780844,29,81
1, SLC, HP, 199506,0.72727275,14,19
1, SLC, HP, 200208,0.6326555,10,46
1, SLC, HP, 200505,0.5247525,6,29
1, SLC, MQ, 201105,0.4090909,11,27
1, SLC, MQ, 201402,0.6604762,16,30
1, SLC, OO, 200505,24.839775,385,1652
1, SLC, OO, 200802,23.233667,402,1287
1, SLC, OO, 200910,31.6703,520,1450
1, SLC, OO, 201207,19.635437,329,1280
1, SLC, OO, 201504,14.066982,286,1476
1, SLC, RU, 200406,0.3072549,12,36
1, SLC, TW, 199604,0.25553727,7,25
1, SLC, UA, 199001,2.6899052,35,78
1, SLC, UA, 199109,2.6602933,44,107
1, SLC, UA, 199406,0.6875364,14,83
1, SLC, UA, 199703,1.5420194,33,76
1, SLC, UA, 199811,0.20102972,7,70
1, SLC, UA, 200108,2.1702676,37,186
1, SLC, UA, 200405,0.76390636,21,46
1, SLC, UA, 200702,0.6448751,15,30
1, SLC, UA, 200810,0.48418504,9,31
1, SLC, UA, 201107,0.12,3,20
1, SLC, UA, 201404,0.24125996,5,29
1, SLC, US, 200711,0.0,0,1
1, SLC, US, 201008,1.5053765,25,82
1, SLC, US, 201305,2.1479502,30,81
1, SLC, WN, 199412,7.245845,95,291
1, SLC, WN, 199601,11.705179,134,322
1, SLC, WN, 199709,6.1331387,97,482
1, SLC, WN, 200006,2.6979897,46,201
1, SLC, WN, 200303,6.230993,86,363
1, SLC, WN, 200411,4.967955,77,293
1, SLC, WN, 200708,14.500361,205,521
1, SLC, WN, 201005,6.3069925,105,430
1, SLC, WN, 201302,3.495336,61,241
1, SLC, WN, 201410,5.832844,87,231
1, SLC, XE, 200704,0.5323891,15,48
1, SLC, YV, 200602,0.45555556,4,25
1, SLC, YV, 200710,0.112359546,3,19
1, SLC, YV, 201007,0.10526316,1,4
1, SPN, CO, 198906,4.1499996,25,58
1, SPN, CO, 199203,1.9999998,17,63
1, ABQ, AA, 198910,1.2924908,26,61
1, ABQ, AA, 199207,2.5979376,29,36
1, ABQ, AA, 199504,2.4545484,37,48
1, ABQ, AA, 199612,0.11711712,2,6
1, ABQ, AA, 199909,0.92289853,18,43
1, ABQ, AA, 200206,0.1559633,4,29
1, ABQ, AA, 200503,0.17592593,5,22
1, ABQ, AA, 200611,0.81904763,17,51
1, ABQ, AA, 200908,0.5730586,12,67
1, ABQ, AA, 201205,0.2952381,6,27
1, ABQ, AA, 201502,0.4,5,16
1, ABQ, B6, 201410,0.11228071,5,22
1, ABQ, CO, 200607,0.041811846,1,4
1, ABQ, DL, 199004,4.3039274,66,85
1, ABQ, DL, 199409,1.4468601,28,52
1, ABQ, DL, 199706,0.7821782,11,27
1, ABQ, DL, 200003,0.3245614,7,20
1, ABQ, HP, 199209,0.40392157,7,30
1, ABQ, HP, 199506,1.0240963,12,17
1, ABQ, HP, 200208,0.22222222,4,29
1, ABQ, HP, 200505,0.26666668,5,21
1, ABQ, MQ, 201105,0.122924894,2,46
1, ABQ, MQ, 201402,0.5890476,9,27
1, ABQ, OO, 200505,0.24324325,7,23
1, ABQ, OO, 200802,0.7258741,17,62
1, ABQ, OO, 200910,0.28489313,9,57
1, ABQ, OO, 201207,1.2722986,20,75
1, ABQ, OO, 201504,2.2365963,42,99
1, ABQ, UA, 200108,0.006849315,1,3
1, ABQ, UA, 200702,0.053435117,4,8
1, ABQ, UA, 200810,0.003875969,1,11
1, ABQ, UA, 201404,0.0,0,1
1, ABQ, US, 200603,0.4597701,6,22
1, ABQ, US, 200711,0.12765957,4,15
1, ABQ, US, 201008,0.39785588,4,43
1, ABQ, US, 201305,0.65753424,6,20
1, ABQ, WN, 199007,9.909931,130,466
1, ABQ, WN, 199304,8.714985,120,447
1, ABQ, WN, 199412,7.4434214,100,260
1, ABQ, WN, 199601,11.676258,149,484
1, ABQ, WN, 199709,12.642964,174,532
1, ABQ, WN, 200006,16.482067,194,384
1, ABQ, WN, 200303,3.2410135,53,382
1, ABQ, WN, 200411,7.7627993,109,348
1, ABQ, WN, 200708,10.178068,148,423
1, ABQ, WN, 201005,4.709081,84,317
1, ABQ, WN, 201302,3.0703812,58,218
1, ABQ, WN, 201410,4.9343133,84,233
1, ABQ, XE, 200704,0.3679245,5,16
1, ABQ, YV, 201007,0.76190484,7,30
1, BFL, MQ, 200106,1.8,12,14
1, BFL, OO, 200505,1.0470622,10,31
1, BFL, OO, 200910,1.4666668,11,16
1, BFL, YV, 200602,1.1154572,20,73
1, BUF, AA, 198910,4.5333524,58,100
1, BUF, AA, 199207,0.6551724,8,16
1, BUF, AA, 199504,0.6666666,10,19
1, BUF, AA, 199612,0.7468859,7,23
1, BUF, AA, 199909,0.4736842,5,22
1, BUF, AA, 200206,0.36597967,6,26
1, BUF, B6, 201005,0.027027028,1,23
1, BUF, B6, 201302,0.87926674,18,68
1, BUF, B6, 201410,0.013071896,1,29
1, BUF, DL, 200705,0.125,2,29
1, BUF, DL, 201002,0.25,4,15
1, BUF, DL, 201407,0.19616398,6,57
1, BUF, EV, 200511,0.14049587,4,14
